id,state_code,tenure,contract_length,promotions_offered,remaining_term,last_nps_rating,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn
44,ND,53,24,No,22,4,area_code_510,no,no,1,194.5481073,107,34.14415814,244.963002,131,20.2247915,231.3271035,111,9.990450747,15.21021049,7,4.253017034,2,no
45,HI,96,15,No,5,6,area_code_408,no,no,1,226.4054816,117,37.52267814,177.7261576,118,14.31550373,235.9474267,113,10.23039334,9.265573685,8,2.476884261,1,no
46,AR,149,23,No,9,5,area_code_510,no,no,0,187.1981042,93,32.34042107,156.8565944,94,13.60945009,176.0989114,121,7.775422968,7.396617056,13,1.909121022,0,no
47,AL,32,15,No,7,3,area_code_408,no,no,0,286.9582382,148,48.25736593,246.9191884,100,20.52004834,155.6572333,83,6.45878394,7.495633464,5,2.05758775,2,yes
48,NY,28,24,No,2,9,area_code_408,no,yes,28,164.1665689,96,27.67849564,236.710573,125,19.86518296,168.7755659,87,7.502226498,14.51966106,8,3.802868089,1,no
49,IA,25,10,No,12,8,area_code_408,no,no,2,129.7537428,80,23.76717228,190.76541,72,15.77890386,186.9115227,112,8.261844244,12.95611791,1,3.245792905,0,no
50,MN,168,12,No,22,6,area_code_408,no,no,1,146.3032568,94,25.01581275,118.5980492,110,9.582786516,199.3998145,124,9.40962804,9.846124176,5,2.699100468,0,no
51,IA,79,20,Yes,1,2,area_code_415,no,no,2,172.816985,98,28.16043812,233.8616603,104,20.77829091,191.1677642,119,8.697817779,8.649009871,2,2.254748174,1,no
52,MS,123,14,NO,6,1,area_code_415,no,yes,45,144.7519615,89,24.19530731,216.6425071,123,18.7733921,313.6404759,131,14.135312,7.37215002,6,1.850758935,1,yes
53,ME,53,14,Yes,1,4,area_code_510,no,yes,21,167.3563307,95,28.03445726,238.6116989,88,20.61279808,120.9062855,114,6.097648654,12.59579787,2,3.407207541,2,no
54,NY,104,23,Yes,1,2,area_code_408,no,yes,49,124.420959,87,22.94615933,249.769714,132,21.13969752,173.0884098,89,7.407140902,7.584511215,5,2.020948947,6,yes
55,PA,97,11,No,3,8,area_code_510,no,no,2,213.5068245,79,37.45281364,94.03626049,67,8.751620178,154.394036,66,6.74971232,11.2614646,1,3.131342526,1,no
56,NY,87,8,No,20,10,area_code_415,no,no,2,97.51374239,66,16.64661789,171.0104173,102,15.06802737,221.653147,118,10.08041397,12.54120938,1,3.333936473,3,no
57,NV,104,13,Yes,4,5,area_code_415,no,no,0,209.1511017,90,35.41542706,199.0048458,97,17.18149119,168.8254999,90,7.89098397,11.95429691,5,3.054890847,2,yes
58,MA,82,18,No,22,1,area_code_510,no,no,2,267.6993142,76,47.51151594,119.3870176,97,10.58021316,181.0929577,83,8.481760171,9.043622384,7,2.550895047,0,no
59,NE,80,16,No,7,5,area_code_415,no,yes,34,206.5727269,119,35.01084224,113.6436038,104,10.4734936,172.5317702,77,7.95340417,10.35436267,3,2.844926372,2,no
60,WV,59,24,No,9,4,area_code_510,no,yes,33,105.7085208,90,19.60919977,197.7466835,113,17.26545633,151.9869986,81,6.632629856,11.98631645,5,3.095189002,2,no
61,NE,68,8,No,9,3,area_code_408,no,no,1,262.2180709,108,42.82400834,150.5705273,96,12.25113675,138.7122815,78,6.533002551,13.57067698,4,3.576963834,0,no
62,MN,134,19,No,5,2,area_code_415,no,no,1,230.6581991,79,40.80979414,280.8265279,121,23.127424,222.0113294,72,9.971345341,13.54160548,2,3.699896589,0,yes
63,MT,93,23,No,13,9,area_code_415,no,yes,15,114.8101064,94,18.77589124,183.5417752,119,16.32226504,155.3205288,114,7.086290479,6.726268078,3,1.869713591,1,no
64,RI,129,12,No,23,4,area_code_415,no,no,1,110.9196218,103,20.13678849,214.7867747,114,17.13338539,145.5235,58,6.746260329,5.510113981,3,1.515639832,0,no
65,VA,31,9,No,13,8,area_code_415,no,no,2,148.399839,106,24.88339036,126.4355081,94,11.9611456,193.1169966,83,8.446382709,9.567014505,8,2.66860513,0,no
66,RI,117,17,No,19,7,area_code_510,no,yes,22,213.8020802,109,37.43814631,183.3847221,98,16.68081665,246.1038092,100,11.0098896,10.98175984,9,2.948193469,1,no
67,RI,127,19,No,18,1,area_code_415,no,no,0,133.2099626,115,21.65292534,195.7267218,95,16.57447087,123.9737118,99,5.360983454,13.91625368,3,3.776913532,0,no
68,ME,105,20,No,23,4,area_code_415,no,no,2,215.2043259,109,37.18693479,181.4520605,87,16.06173472,251.4046367,86,11.42734421,10.02833859,10,2.743838682,1,no
69,AK,53,14,No,9,4,area_code_408,no,no,2,216.8896975,99,36.42740176,145.4636603,82,13.64007698,135.2904576,108,5.396146497,11.85371132,5,3.236220076,2,no
70,AR,27,16,No,7,7,area_code_510,no,no,2,123.2074043,77,22.29598801,275.7030623,99,22.92548982,298.9484489,74,14.01015454,10.45185903,5,2.85435013,2,no
71,WY,124,21,No,10,10,area_code_415,no,no,2,112.5899536,73,18.82400108,110.0651375,103,10.17813635,180.5119793,122,8.131392891,8.502837606,10,2.425405434,2,no
72,OH,57,20,No,16,8,area_code_408,no,no,1,88.52487433,85,15.11488727,176.665228,112,14.09098144,311.7791978,94,13.90059232,11.07865873,9,2.989060975,2,no
73,NJ,82,21,No,7,6,area_code_415,yes,no,2,332.5864105,107,56.46941994,126.2298969,98,11.99782972,208.0141507,91,9.628907766,8.309698296,3,2.404404598,6,yes
74,PA,67,18,No,15,4,area_code_415,no,no,2,222.3357929,71,37.52564924,195.4420838,97,16.04479782,227.9544711,71,10.08015887,9.227743662,5,2.696946357,0,no
75,AL,38,12,No,7,5,area_code_408,no,yes,26,141.1202434,94,24.06242191,178.6351883,104,14.61626971,109.1104344,85,4.795120523,7.406228898,2,1.919271302,1,no
76,ID,107,21,No,4,8,area_code_510,no,no,1,277.3683641,117,46.85201748,200.4620539,83,17.4238907,174.9754628,68,7.188297576,6.870328847,3,1.719277215,1,no
77,SD,96,24,No,9,6,area_code_415,no,no,2,146.7427346,123,23.94394761,254.55164,105,22.65347881,141.4752628,98,6.829501687,10.52350456,6,2.953204723,1,no
78,NY,73,9,No,16,9,area_code_415,no,yes,31,245.7848883,79,39.84890108,209.0979172,108,17.97785271,171.5129876,71,7.660422462,9.440162806,7,2.441566747,0,no
79,MN,132,12,No,2,8,area_code_510,no,yes,31,184.2334445,95,32.14067602,221.8508052,90,18.43055718,152.5651196,78,6.448091557,13.93438592,5,3.696408511,1,no
80,NY,97,21,No,17,6,area_code_415,no,no,1,190.0199063,64,31.73885025,105.0636562,89,8.241948963,164.4891717,112,7.569036914,13.05955249,9,3.583745193,2,no
81,KY,97,19,No,1,9,area_code_408,no,no,2,131.3439766,104,23.45982233,192.3103974,105,16.06338425,192.2292936,57,8.227059483,11.50538448,6,3.065834426,1,no
82,AL,56,9,NO,6,4,area_code_415,no,no,1,185.6457397,112,30.27501265,275.9655625,104,23.85262666,134.5734011,119,5.920844279,9.866105113,7,2.545566973,1,yes
83,VA,66,17,No,14,7,area_code_415,no,no,0,127.1744732,59,23.03323997,202.7610819,104,16.82644192,220.838747,80,10.06699204,9.552149826,3,2.655046268,2,no
84,NM,191,19,Yes,6,3,area_code_415,yes,yes,26,200.6202942,114,35.41656988,167.7626266,63,15.24414664,213.4966929,121,9.530166967,14.1740098,3,3.93228438,1,yes
85,SC,101,10,No,19,9,area_code_415,no,no,0,176.1428713,99,31.95181778,249.3190968,120,21.29100147,167.9987874,91,7.277362254,12.80057242,8,3.4318338,2,no
86,TX,120,9,No,13,9,area_code_510,no,no,2,110.0440863,104,20.14212876,224.8450902,98,18.52561253,212.2733067,91,9.766443847,8.450424667,3,2.241234542,2,no
87,ID,48,16,No,19,5,area_code_415,no,yes,36,91.83674699,71,15.24976579,235.5208105,123,19.94218771,123.5035164,107,5.613085148,13.63715592,6,3.515064121,1,no
88,ND,84,20,No,10,6,area_code_415,no,yes,32,175.5809495,76,27.08616924,147.9827662,116,13.69062853,213.261279,93,9.043150322,13.02723931,18,3.384072699,1,no
89,MA,8,15,No,11,2,area_code_408,no,no,1,220.986585,103,38.29171497,204.3536935,78,17.76978912,275.4533668,110,12.27746547,13.39468984,8,3.75368461,2,no
90,SD,73,13,No,16,7,area_code_415,no,yes,30,295.86618,106,50.76619307,159.6947382,91,12.36603457,170.6351289,89,7.522293314,12.98166093,4,3.505177593,1,no
91,MD,141,17,No,2,5,area_code_510,no,no,2,112.7784246,102,20.70183401,286.3908222,93,23.9074753,227.1566035,96,9.777736015,11.32697363,4,3.089097749,4,yes
92,OK,140,20,No,16,6,area_code_510,no,no,2,152.5835188,89,24.88984058,256.8201112,103,21.78754575,147.8935545,112,6.941263574,9.559450694,4,2.608200539,2,no
93,CO,57,14,No,5,3,area_code_510,no,yes,40,118.2303601,78,20.42987141,154.6862819,64,12.30755545,225.4477562,107,10.36998131,11.39157735,10,2.970862504,2,no
94,AZ,122,8,No,8,9,area_code_415,yes,yes,32,181.5899218,96,31.56868524,129.9849647,120,11.9625841,173.6536746,93,7.920594832,8.466394017,3,2.373486832,1,no
95,NC,60,20,No,1,7,area_code_415,yes,no,2,183.6745445,110,30.61278423,266.1697955,110,22.72709077,144.2531694,108,6.557576879,9.8592194,2,2.69957819,2,yes
96,TX,71,11,NO,6,4,area_code_415,no,no,1,143.2162904,99,25.82704103,182.9805064,96,16.54038217,211.3711995,103,9.71158238,9.17963298,3,2.552031948,3,yes
97,CT,87,17,No,12,10,area_code_415,no,no,2,169.9037206,146,29.57206706,205.1274968,131,17.14478113,85.0404807,88,3.715960754,10.76596129,8,2.800700025,3,no
98,OH,57,15,No,22,6,area_code_408,no,yes,29,157.8947972,82,26.0132866,187.586482,101,16.75298731,246.8964387,90,10.99002089,11.2675686,5,2.975538202,1,no
99,MO,19,18,No,11,7,area_code_408,no,yes,13,199.4067764,107,35.79632486,224.7565083,107,19.22969249,72.55809814,95,3.548313958,4.216351759,1,1.120430718,1,no
100,MO,81,14,No,5,2,area_code_510,no,no,1,133.0772678,89,23.87423802,172.092139,103,14.18011245,224.1812891,114,10.11630257,9.038679106,4,2.479527606,1,no
101,MO,169,19,No,5,2,area_code_415,yes,no,3,239.360097,97,41.60914124,58.71754982,109,4.591432049,175.5497928,106,7.656603016,10.90995863,3,2.932196513,2,no
102,NC,101,9,No,23,7,area_code_408,no,yes,27,111.8410481,70,18.80110405,200.3849079,73,17.50954377,231.6924931,101,10.17497403,10.21220195,7,2.959547421,0,no
103,UT,107,11,No,1,3,area_code_415,no,no,2,320.2877298,97,56.60426079,152.7461604,124,13.58932195,290.5862291,100,12.90022901,11.84387703,4,3.0097403,1,yes
104,ID,63,12,Yes,1,2,area_code_415,no,no,2,91.56577969,94,15.27379055,238.7025318,72,19.93152673,170.3591599,121,7.919435532,6.202517086,4,1.866364644,0,no
105,AL,125,18,No,16,6,area_code_408,no,no,1,218.9880951,88,36.95767101,174.2037062,72,13.91404868,216.025045,103,9.402300973,11.44619116,4,3.150970224,0,no
106,ID,59,19,No,24,3,area_code_510,no,yes,8,221.2401615,111,36.65518455,252.1298053,50,22.25138833,204.1524755,116,9.679408753,12.26328475,2,3.315017263,1,no
107,MI,53,12,No,6,9,area_code_415,no,no,1,195.851373,100,33.69927544,283.1664005,118,23.55782935,207.5411177,107,9.026838751,11.87658325,5,3.106424693,1,no
108,WV,180,8,No,16,6,area_code_510,no,no,2,113.0521998,101,20.27622311,92.73203105,113,8.385863782,164.9256495,107,7.576410804,7.64451487,7,2.075908058,1,no
109,DE,51,9,No,22,9,area_code_510,no,no,2,163.7028885,91,28.01457927,239.6441181,52,20.68037207,285.8685345,101,13.25828332,9.625747155,3,2.596547237,2,no
110,UT,112,14,No,2,10,area_code_408,yes,yes,50,125.8835412,115,23.58855817,126.5706253,141,12.15456299,189.4827594,101,8.060390694,7.009466586,3,2.150261572,0,no
111,VA,130,12,No,1,9,area_code_408,no,yes,25,194.8981903,80,35.10171607,145.7008058,54,12.85481318,237.5923705,92,11.53682084,7.915811877,5,2.056334088,3,no
112,MA,147,21,No,1,3,area_code_408,no,no,2,144.1180488,95,25.50894774,184.3838691,104,15.61115139,236.0778159,114,10.0233387,8.038889034,4,2.290166853,5,yes
113,SD,93,15,No,11,5,area_code_510,no,no,2,214.7439713,113,36.19694069,223.9287902,109,19.02187722,173.5630992,137,7.251410306,13.11524648,5,3.759001821,0,no
114,WA,169,22,No,18,9,area_code_408,no,no,2,278.3618929,114,45.43875935,50.73590763,109,4.067830098,256.6657879,114,11.0825657,10.34188472,5,2.875660007,0,no
115,KS,116,24,NO,3,4,area_code_415,yes,yes,27,266.9727136,107,46.65628161,261.1597581,72,22.36876098,180.1954644,107,8.34864617,8.246567883,3,2.386977914,1,yes
116,NM,118,8,No,6,10,area_code_415,no,no,2,142.1153758,105,25.35456525,200.4065297,104,16.87381366,270.9414222,112,11.70470379,11.15171793,7,3.064763406,1,no
117,CA,26,23,No,4,10,area_code_415,no,no,2,185.3826563,72,31.26298611,129.7297217,117,12.16582263,210.3798881,119,9.435513078,12.40106415,1,3.434701456,0,no
118,VT,57,9,No,1,9,area_code_408,no,no,2,151.6081122,93,25.3538465,211.89848,91,17.86942922,271.9838568,82,11.93487057,11.00864069,5,3.018091506,1,no
119,OK,20,23,No,23,5,area_code_415,no,no,1,106.0135903,131,18.50557992,217.6013864,92,19.67363222,222.3487187,33,10.11226951,16.02511591,5,4.395102182,2,no
120,MS,8,8,Yes,1,6,area_code_415,no,no,0,151.6200257,105,26.65153847,111.8860733,66,9.251067148,221.3085905,86,10.44203166,13.82357777,3,3.744066291,1,no
121,FL,151,23,No,20,7,area_code_510,yes,no,1,143.2504792,137,26.07829896,251.2015517,89,19.96441059,201.3470129,139,8.90513269,8.811863928,4,2.172339272,2,no
122,ND,102,8,No,21,10,area_code_415,no,yes,26,114.7105163,98,18.81967682,223.1145746,108,18.85545971,277.5107932,118,13.22323708,12.01487089,6,3.466227912,1,no
123,HI,182,17,No,7,4,area_code_510,no,no,2,189.8483335,74,32.1302515,148.9758967,86,12.22552913,233.8570108,82,10.16322364,10.51873789,2,2.969049869,1,no
124,MI,50,20,No,7,4,area_code_415,no,no,2,237.2776077,125,40.19910553,331.2889644,105,28.70697962,189.4430515,125,8.093231153,9.108424057,1,2.484610342,1,yes
125,WV,62,20,No,14,6,area_code_415,no,no,1,188.4851066,116,30.68841885,128.3801944,94,11.95812154,204.7276257,98,8.977013546,13.13818504,6,3.754933781,1,no
126,OK,97,10,NO,6,6,area_code_415,no,no,1,261.1204193,93,41.94567857,270.7812562,61,22.99164651,80.33743122,97,3.83001002,10.5945753,3,2.712520539,5,yes
127,OK,173,8,No,1,7,area_code_408,no,no,2,198.2121061,112,35.58781565,234.7067415,124,20.55883765,167.3493308,62,7.174278766,17.88945367,4,4.726194174,4,no
128,KY,99,13,No,2,8,area_code_415,yes,no,1,198.3769898,87,34.54620748,163.5184091,96,14.57242315,221.537042,89,9.814726005,8.81632189,6,2.24344044,0,no
129,PA,137,12,No,9,8,area_code_408,no,no,0,89.73810284,79,17.08556794,221.6317125,107,18.66261501,167.6081004,88,7.162182887,9.889858051,5,2.585539777,1,no
130,OH,168,20,No,1,9,area_code_510,no,yes,26,162.1035144,82,29.73233377,177.0926404,125,13.78998739,200.4995915,131,9.358542845,8.220182653,3,2.232061784,1,no
131,NV,85,19,No,4,10,area_code_415,no,no,0,156.9740711,138,24.90286213,309.7157611,115,26.87622019,186.8589759,111,8.635339087,9.925837921,5,2.621254877,1,no
132,NV,98,10,No,7,8,area_code_408,no,no,0,94.20874378,106,16.68296612,137.4809347,87,11.93441593,148.6390918,107,6.694961292,13.72405785,1,3.524162119,1,no
133,ME,79,13,No,20,6,area_code_510,no,no,1,206.7954198,118,33.44909753,178.8814574,143,14.48239609,167.4111114,94,7.681942631,9.392520009,6,2.549004702,0,no
134,MI,51,12,No,24,9,area_code_415,no,no,2,195.5543247,96,33.12236481,329.3114258,117,28.12042501,208.9383046,110,8.895978215,11.31852796,1,3.079086992,1,no
135,MT,101,22,No,1,4,area_code_408,no,no,3,278.7298752,74,45.08459352,209.3046168,79,17.68159258,212.5177202,128,9.046286873,13.3836849,8,3.592429474,2,yes
136,HI,16,22,No,11,2,area_code_415,no,no,2,243.9123899,99,41.02933032,144.2831967,130,12.59590629,206.6280197,107,8.942466508,16.83102636,2,4.418459062,0,no
137,NJ,118,21,No,21,8,area_code_510,no,yes,23,233.1733329,106,40.88990524,202.5270806,87,17.46146573,227.4241437,83,9.856730876,7.717252443,7,1.924080862,0,no
138,DC,138,24,No,7,8,area_code_510,no,no,0,196.0344459,80,33.45873206,149.5795376,98,13.00222094,225.5448862,70,10.44442003,9.908061924,3,2.451827214,0,no
139,IL,76,15,No,3,10,area_code_415,no,yes,29,203.4179963,98,35.77493312,213.709496,85,18.04546004,194.0079718,121,8.535807195,9.863694917,5,2.533828212,0,no
140,LA,92,20,No,5,6,area_code_408,no,no,2,143.6965478,88,25.71035946,294.3756846,104,25.49433689,259.5034307,127,11.88452092,10.91888653,3,2.783022888,2,no
141,OH,74,21,No,21,7,area_code_408,no,no,1,174.7218813,131,29.49247925,234.6882169,89,20.64461792,196.4275732,84,8.867084867,7.33662581,5,1.931263191,2,no
142,MD,147,16,No,6,2,area_code_510,no,no,3,141.3104658,117,25.51324892,201.1779071,68,17.84736427,192.6688008,112,8.302295259,12.39783898,3,3.45737793,3,yes
143,NM,122,22,No,10,8,area_code_415,no,no,2,151.7066933,107,25.24246069,169.55914,107,14.61811004,273.1978165,95,11.80437067,11.35444414,8,3.057839153,0,no
144,AZ,76,16,No,8,10,area_code_408,no,no,0,198.5524472,53,33.68148263,229.8361219,103,18.40838491,242.6756611,111,11.52608087,12.26192379,4,3.29627257,1,no
145,NC,126,22,No,8,7,area_code_510,no,no,3,176.1309402,89,30.34978069,150.5414742,80,13.70354645,236.0883045,114,10.25976728,11.60456307,6,3.202808599,2,no
146,NH,58,22,No,20,4,area_code_510,no,no,3,204.1901555,102,34.07620485,197.9866376,84,18.22924234,123.7910039,55,6.132680322,8.869201196,5,2.265833157,1,no
147,AR,60,10,No,13,6,area_code_415,no,yes,26,128.8660817,100,22.28368303,127.3604214,107,11.95896553,271.2022353,90,12.30313021,13.48517646,6,3.424256292,2,no
148,CA,85,10,No,2,6,area_code_510,no,no,2,157.6988026,86,25.39994853,196.8574208,86,15.45018448,219.9719639,84,10.52032234,9.02653164,10,2.581078143,5,yes
149,GA,64,15,No,13,6,area_code_408,no,no,1,154.867237,94,24.31250185,209.3200655,91,18.31144975,375.1276602,106,16.59262438,9.544606732,4,2.434751894,1,no
150,WV,118,21,No,19,7,area_code_415,no,no,1,181.801902,141,32.73135754,197.819344,86,17.23686826,142.1826535,85,7.038294363,8.567643222,2,2.279003927,1,no
151,NE,73,13,No,11,2,area_code_510,no,no,2,211.3203478,67,38.4647059,211.8192555,82,16.95489964,243.1688336,103,11.15082625,5.576497099,5,1.57268447,1,no
152,IL,38,17,No,2,10,area_code_408,no,no,0,193.9997052,72,33.87610506,212.769922,117,16.99758592,139.07224,71,6.257614094,5.814560286,6,1.519274454,1,no
153,MI,58,24,No,8,9,area_code_415,no,yes,35,177.1652062,101,32.65297275,147.5979668,100,12.88999039,215.8353265,106,9.022759248,10.57305436,3,2.943238269,2,no
154,AR,96,24,No,1,9,area_code_408,yes,yes,36,208.042752,94,33.25517064,139.1445943,88,11.41231224,154.0762563,107,6.930080753,6.089964561,2,1.669195317,0,no
155,WY,126,18,No,6,7,area_code_510,no,no,0,285.3310522,91,48.75251072,231.3490593,112,19.46193779,246.029438,104,10.95149656,12.99495997,11,3.498199279,0,yes
